Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
2003,LAO,1553,1545.0,0.0,8.0,5.635890441927313,5.635890441927313,0.0,5.674017033580772
2004,LAO,1380,1373.0,0.0,7.0,6.39460116254109,6.39460116254109,0.0,6.511338394123104
2005,LAO,797,797.0,0.0,0.0,5.7872838510821705,5.7872838510821705,0.0,5.908043843901616
2006,LAO,1037,1029.0,1.0,7.0,6.693712937736447,6.695073263972907,-0.001360326236460974,6.769308869980855
2007,LAO,1614,1606.0,1.0,7.0,5.6941814062673926,5.698487894895484,-0.004306488628091642,5.507242871226929
2008,LAO,1627,1618.0,1.0,8.0,5.714030114604676,5.7140750107441916,-4.4896139515648246e-05,5.539310927844422
2009,LAO,5019,4932.0,0.0,87.0,5.644197990720799,5.644197990720799,0.0,5.338090560501066
2010,LAO,3968,3954.0,0.0,14.0,6.651223098457362,6.651223098457362,0.0,6.307691895667301
2011,LAO,4407,4390.0,0.0,17.0,6.499548101241935,6.499548101241935,0.0,5.536892454466967
2012,LAO,4540,4489.0,0.0,51.0,5.457503246121633,5.457503246121633,0.0,4.750488860923293
2013,LAO,4255,4156.0,0.0,99.0,2.7455193874378514,2.7455193874378514,0.0,2.353157513685787
2014,LAO,3982,3840.0,51.0,91.0,2.79880334366346,2.829211012345442,-0.030407668681984194,2.1864922169902545
2015,LAO,5858,3369.0,2337.0,152.0,0.44446215484420865,1.7547580939371001,-1.3102959390928899,-0.31581542125334955
2016,LAO,14013,5763.0,7938.0,312.0,-0.642839812873675,1.0957284848619928,-1.7385682977356696,-1.8393215306104898
2017,LAO,6849,3848.0,2874.0,127.0,0.4891666454944359,1.8762687588718092,-1.3871021133773807,-0.5181057177815547
2003,IDN,62939,62659.0,0.0,280.0,4.4310495902263565,4.4310495902263565,0.0,4.524786104240322
2004,IDN,40991,40829.0,0.0,162.0,4.742455900542039,4.742455900542039,0.0,4.750867674709162
2005,IDN,38391,38108.0,42.0,241.0,4.973853920819294,4.978174643670546,-0.004320722851255324,4.914790958513124
2006,IDN,44125,43917.0,6.0,202.0,5.036514288270496,5.03710762447295,-0.0005933362024540977,5.013323988037908
2007,IDN,72942,72689.0,6.0,247.0,4.942973064743846,4.943384553395408,-0.0004114886515624818,4.936748271128835
2008,IDN,66756,66519.0,10.0,227.0,5.000382324930435,5.000626407538799,-0.00024408260836230374,5.032027316834485
2009,IDN,131636,131042.0,0.0,594.0,4.952273624976798,4.952273624976798,0.0,4.771973997150512
2010,IDN,125993,125258.0,0.0,735.0,5.001059388419771,5.001059388419771,0.0,4.811722455325085
2011,IDN,154097,153062.0,0.0,1035.0,5.094974485344601,5.094974485344601,0.0,4.883185014318418
2012,IDN,151878,150025.0,0.0,1853.0,4.7805864886379315,4.7805864886379315,0.0,4.6144287851039225
2013,IDN,67649,65004.0,0.0,2645.0,2.382538944626835,2.382538944626835,0.0,2.293992728848968
2014,IDN,53724,51385.0,643.0,1696.0,2.2359371488282216,2.280182178086944,-0.04424502925871741,2.013860225458262
2015,IDN,88091,31819.0,54385.0,1887.0,-1.756506214553744,0.7914738286120375,-2.547980043165797,-2.875912330378819
2016,IDN,81290,24027.0,55617.0,1646.0,-2.377676443916111,0.6631691385684506,-3.0408455824845464,-3.9628303394905156
2017,IDN,68635,23152.0,43968.0,1515.0,-1.9240947404328783,0.7974062984932777,-2.7215010389261307,-3.1365434159422074
2003,MYS,11652,11608.0,0.0,44.0,5.31879482067117,5.31879482067117,0.0,5.374378257040203
2004,MYS,8047,8037.0,0.0,10.0,5.153837527737123,5.153837527737123,0.0,5.180834297985135
2005,MYS,6488,6452.0,2.0,34.0,5.148643050780944,5.150457859663772,-0.0018148088828286776,5.209641924049131
2006,MYS,13929,13885.0,5.0,39.0,5.704738448222373,5.70638713869315,-0.0016486904707774712,5.900318994798247
2007,MYS,22808,22760.0,6.0,42.0,5.647768427723901,5.648538701681703,-0.0007702739578017682,5.674972696289765
2008,MYS,30928,30865.0,8.0,55.0,5.556123147749995,5.556744749278532,-0.0006216015285366197,5.5620138227693685
2009,MYS,58570,58435.0,0.0,135.0,5.567881980501642,5.567881980501642,0.0,5.535606954245298
2010,MYS,50317,50174.0,0.0,143.0,5.534440772885214,5.534440772885214,0.0,5.446199275369584
2011,MYS,62244,62008.0,0.0,236.0,5.568723550205236,5.568723550205236,0.0,5.3878139589399385
2012,MYS,65868,65372.0,0.0,496.0,5.184355395402829,5.184355395402829,0.0,5.068532603155589
2013,MYS,80873,78808.0,0.0,2065.0,2.461135494828523,2.461135494828523,0.0,2.41706352617398
2014,MYS,118478,113588.0,1833.0,3057.0,2.0611045277355475,2.119165382042359,-0.05806085430682172,1.713049610353918
2015,MYS,124911,44217.0,77942.0,2752.0,-1.486241337074421,0.811048698440791,-2.2972900355152017,-2.3405698254267677
2016,MYS,110836,32429.0,75843.0,2564.0,-1.805052115993226,0.6246982005594715,-2.4297503165526866,-2.311833322556564
2017,MYS,100946,31655.0,67173.0,2118.0,-1.9011228784220908,0.715986727071985,-2.617109605494066,-2.9986810728464977
2003,VNM,9222,9182.0,0.0,40.0,5.9288712991639585,5.9288712991639585,0.0,6.078762431972151
2004,VNM,7800,7737.0,0.0,63.0,6.014686888503892,6.014686888503892,0.0,6.172683297833879
2005,VNM,5078,5027.0,9.0,42.0,5.962822866181818,5.969768845229974,-0.006945979048155162,5.923906037679613
2006,VNM,10152,10090.0,27.0,35.0,6.279945819862011,6.284144405698738,-0.00419858583672761,6.051507967598626
2007,VNM,13135,13082.0,15.0,38.0,5.752286195667867,5.754843611039673,-0.0025574153718072967,5.439902306078708
2008,VNM,14516,14431.0,9.0,76.0,5.693861134371202,5.694769401984169,-0.0009082676129657597,5.433286709372983
2009,VNM,37678,37541.0,0.0,137.0,6.12707450444231,6.12707450444231,0.0,5.923507645125238
2010,VNM,39968,39854.0,0.0,114.0,6.455330032073595,6.455330032073595,0.0,6.043666459371311
2011,VNM,42659,42479.0,0.0,180.0,6.0468379980238804,6.0468379980238804,0.0,5.4568732867005965
2012,VNM,43633,43371.0,0.0,262.0,5.555284166412484,5.555284166412484,0.0,5.048985724161375
2013,VNM,38497,37811.0,0.0,686.0,2.8537570952814257,2.8537570952814257,0.0,2.697286610886193
