,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62
293120,Myanmar,MMR,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.35956987604124,-2.34635994742259,1.41024552018482,-0.182395916009129,1.0434016828298298,4.85379033880321,5.4741068781081506,6.84128559608505,3.9137746052700098,2.67166530648619,3.1774947584785496,-2.60285417206877,-2.10158998772926,-0.6447396956222471,-3.25325038387328,-4.75423236120592,-2.78510264154052,-5.69125865430749,
293312,Myanmar,MMR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8611776800864703,3.21565753506977,2.22070502562137,2.3777576671811,2.0001628964787,1.95966396539679,1.9018212828574899,3.5175166973129,2.7112718100031095,2.92355415980151,1.8189720234246498,4.20127651183029,2.22540065131688,3.74085600548328,3.32335345474091,6.8420485621765,5.18480249578167,6.758146295802191,
293328,Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.47156108037967204,4.0868725304389395,13.3492949251415,-5.894018839645059,10.6926495101717,-4.85177870418221,-5.925258882637,12.0593401836537,3.2917411206131204,4.97933059716766,4.1299624445186796,2.4358413728682797,-0.9681247183355028,5.34237568949926,4.152709188527879,6.08039622928619,5.952286610571901,6.51781702314275,5.20127748074097,7.93853808083074,6.35575459195852,5.60387642556641,4.391092679888,4.93272802618058,2.85100023868452,-1.05734875698275,-4.00563178606444,-11.3524394768174,3.69529742267815,2.81693327329167,-0.650616908122942,9.6609424527246,6.03941022688406,7.4779583583742495,6.9480514367987505,6.44271534745016,5.651582963176759,5.866213152992049,10.945129982025799,13.745930555989899,11.343997069849902,12.0255134339772,13.843996890138099,13.564661616294199,13.5689500216101,13.076101379581,11.991435240049901,10.255305393015501,10.5500090961785,9.63443945214466,5.5914823781961,7.33267044715451,8.426001024851871,7.9912433435203205,6.99251557410656,5.87198222637582,6.36884052643458,
293486,Myanmar,MMR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.44943715299723,0.600847631921738,0.9437819562506891,-3.7163403935698396,1.69110336051375,3.55521125700366,15.991590382537698,1.69284359057109,2.7622528623609104,-1.4286095090870201,-2.30943262198161,0.755485934092093,10.0048319720947,56.520895189261395,16.4966678379998,10.1287156467584,1.9217993451121298,0.79735639946594,5.61664989286257,1.2351837316502399,4.42518376319629,3.3744684291657996,1.95733881574442,2.51788884616431,1.5672508344029001,6.5545096897655,21.2384215170902,25.195621172994198,57.684478087708705,18.5395953745487,23.7488447339607,21.745465395879503,36.24942843725071,22.0801504945717,19.600843627720998,23.0374930878187,33.7942244582394,35.825239760767104,22.6404900457303,2.46177398816046,24.8444647783729,41.5089280022219,20.4965394082855,3.60112807915908,19.1635299039187,21.3004988062924,23.643908118402,13.6186579472663,4.87859924628746,7.04321189356271,10.254576668267,3.13009695252966,4.37807084326613,4.17353811733807,4.13662553684723,3.5555175282216096,10.2499,
294230,Myanmar,MMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294255,Myanmar,MMR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,9.424797533661721,7.612796448263,7.9226476302538895,8.80519186781064,10.4564792033779,10.0094338048831,10.2114167420344,9.61174895435775,9.927705223880599,9.83102245487561,9.23669818868891,8.58443574407767,8.25519326447815,7.411736702422759,6.3655418074506,4.49352671473442,4.261787376540069,6.1977841457298695,5.61020629285277,5.03739654451358,4.72801035299943,4.2517134504618594,3.7444872000515894,3.9593171544736006,4.41523918074799,3.5193095188398904,2.7527484568464904,2.96650745818451,2.25714041101971,2.0010471703619,2.21041186420545,3.27245665609108,3.88177835640941,,,,,,,4.52409369741194,5.52956758874506,5.835804166101481,6.006033146898661,6.40925360927225,5.8214789826828,
294359,Myanmar,MMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0.765900015830994,,1.55110001564026,
323355,Philippines,PHL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.301709837296706,49.698119647983894,52.7731308807089,67.1312896883395,56.4165010762393,61.0637419325051,53.18961730669889,55.6537713305447,60.12526521110129,54.5186948139489,60.510552941701604,61.327868958831395,67.0613723499292,73.7694146530381,74.4458973185332,68.481903015803,61.416191285329894,53.8609769542515,54.6685128081941,54.7789746880474,52.4038594457306,50.999369433862704,51.4824182615201,49.2368772318282,45.3946271793711,,,,
323520,Philippines,PHL,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,-3.83751998954975,-4.81807675980125,-5.439571020207,-5.86739047134552,-5.78178727680791,-8.61600935755115,-8.34332448242508,-4.11990478206074,-0.11713284010890301,3.18732152271275,-1.3375132256533702,-1.02941920613828,-3.41983255604877,-6.081929742480071,-2.27665240130095,-1.8876349460142,-5.547372246189609,-4.6033000734819804,-2.67134422658295,-4.77138046854353,-5.2839141062733095,2.14106580260473,-3.46405801515103,-2.74972446163819,-2.29471865026556,-0.34661787029491997,0.33965688385588805,1.77845890633883,1.93107825886334,5.69741991666504,5.404357937666,0.08267794938937599,5.018675290759781,3.59694026956257,2.51746678446,2.77876864718588,4.1876364438331,3.7795210130232797,2.48166691599405,-0.393216590022997,-0.802866610296568,
323712,Philippines,PHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,-0.0155520882903863,0.291429657068502,0.0511383350462487,0.588125288081852,0.9486878464909939,0.7654104678091709,0.897788752544984,1.06880530212924,0.44481330232168803,0.0254525381961557,-0.32665094010642104,0.48251693916106797,0.0430800467877557,0.316149069164429,0.0286546700452447,0.0390442800363011,0.42519940481567203,0.924812072692761,2.4706060947318598,1.3223665721534699,1.19607523692558,1.1977745708972098,0.430380767691237,2.2770712336812795,2.48266115827452,1.99406402368162,1.8310610095574298,1.48401356880395,3.1672816885879804,1.5024975112672498,1.8352065863806,0.996563528115328,2.17435110833941,0.586355041603849,0.64790626003236,1.61441200929476,2.21536627763805,1.9541553573494301,0.7692680702964759,1.2264980950498,0.536290787439322,0.8954774299528109,1.28569244908673,1.3748620634512099,2.01682578014622,1.92611162697168,2.71559358134654,3.2071241677458198,
323728,Philippines,PHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.616579318951611,4.77312184751131,7.0604874226715895,3.44698214533538,5.26581046402204,4.42599417355294,5.32415018795579,4.94541808045092,4.65635857843871,3.7646048586699,5.428631368913781,5.446791103779769,8.920646822448859,3.55811508024166,5.56477362422095,8.80663056740261,5.6020555772796,5.172103286891001,5.639675745821379,5.14891129434373,3.42326917720787,3.6193276060417903,1.87461646827209,-7.32368258432169,-7.30660883593995,3.41678280553242,4.31163482025792,6.7525444813833495,6.205311116609019,3.0369662939821804,-0.5783346512282321,0.33760303019967397,2.11630717914124,4.38762334121967,4.67869221922228,5.84587347220781,5.18536227553209,-0.5767181475112579,3.08191645986898,4.41122216013076,2.8939870602756805,3.64590331730246,4.97036869699237,6.697623614410089,4.77766781940045,5.24296035576116,6.61666228456504,4.1527568434561495,1.14833221939689,7.63226478049033,3.6597516012353997,6.68381888148204,7.06402426381545,6.1452987858692,6.0665489034551,6.87571482288942,6.68451750279448,
323886,Philippines,PHL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,3.0441171412348105,6.79042335157787,8.56707333175567,4.51099774824399,3.9765098788648903,5.334793174356361,1.96338933297324,6.408144373224161,5.885735971773269,15.1555042161844,14.3992159441481,6.51174150535709,16.8713400451447,32.5997414201056,9.31582749076792,8.30453904372976,8.27287599847801,9.33173978848558,14.839543585381598,14.249949091872198,11.7031389345241,8.70122435547,14.2218810587984,53.335957599607895,17.6328599142573,2.95287805646547,7.49819209915663,9.64702287862109,9.03306356551781,12.9712812730289,16.5268798995664,7.932658328541731,6.8321581290880005,9.99131459680558,7.5508702402952,7.6610378376690305,6.22439202140781,22.3817240430302,6.585056799104629,5.70979596044943,5.54947979900875,4.16222745162094,3.20132792259547,5.51688658239,5.82800968788347,4.94902410637846,3.09033098652421,7.54906208822888,2.77324521536318,4.22238717219361,4.02172300099879,1.9683841944909901,2.04546754429667,3.1574375194432793,-0.586573663833178,1.69909619389745,2.32070851029395,
324630,Philippines,PHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,4.7518466947556695,1.05760980269606,0.8885259649974621,4.26349601844602,1.19712843744578,0.9858680709166031,5.7719982197025095,14.257770488778,6.522294508635079,14.2970609674924,6.89210145956739,7.63801468096035,11.7845049679666,12.126783805156698,21.743804930144897,19.787914900225697,30.791759247339396,24.7133192513587,14.5497054503512,23.349208938708703,9.1010696178097,3.9517153186053102,2.6334968723417798,2.91371976314059,3.53895811381426,5.19341984437156,7.494105489686531,16.2257052057629,7.10046805327592,8.50651612490669,11.147474114922,12.2094465496533,14.2683559373122,16.4028714760445,14.833276795938499,13.1220760748163,11.7588375545245,10.779659824562199,
324655,Philippines,PHL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.082323574106699,14.6052398576615,15.441797213440198,15.610492540643802,16.0257470471348,16.2919718292863,16.9386377595512,16.9842871700876,14.1083160830654,13.306404210934401,12.846263794669099,12.693191416721302,12.0911682834336,12.1017522610396,11.8159876154414,12.4272827280376,13.7118708819138,13.5348865442799,13.5893944216829,12.2299087471226,12.146992063353,12.3815401543326,12.8879512613886,13.309510901428302,13.6054423265534,13.6276037796914,13.676778835636599,,
324759,Philippines,PHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,6.699999809265139,,5.28000020980835,5.3600001335144,4.769999980926509,3.2100000381469704,3.82999992370605,4.800000190734861,4.46999979019165,4.0,3.5,4.75,5.3600001335144,5.5,4.8899998664856,7.03000020980835,6.07000017166138,6.42999982833862,9.10000038146973,8.340000152587889,8.42000007629395,,10.59850025177,9.8661003112793,9.288900375366211,9.48330020904541,9.52610015869141,8.56379985809326,8.77719974517822,10.253999710082999,9.80869960784912,11.1892995834351,3.6981999874115004,11.5100002288818,3.52729988098145,3.5534999370575,3.79520010948181,4.05229997634888,3.43420004844666,3.71989989280701,3.85809993743896,3.60509991645813,3.5922000408172594,3.50419998168945,3.49729990959167,3.59990000724792,,2.70779991149902,2.5518000125885,
348955,Singapore,SGP,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8387486118459,78.962945424411,81.84170013229321,72.8302522209012,70.1990093017725,72.71505667656429,72.6539458380202,71.3323718175003,82.6190408134952,87.86194041842079,84.0527376909375,94.4715425809553,107.022478905715,109.311000628418,102.53391813017001,95.2573158425833,83.3044478037771,77.6885365445431,97.1051590482255,107.336577835902,102.90342103932501,106.07018730597,109.465336875015,100.466264896104,100.66864816541599,104.64808110342301,112.330851073004,,
349120,Singapore,SGP,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,-18.1967450893855,-14.046610759609802,-19.5790277148854,-10.3679694707576,-8.9689857183088,-4.46019016412175,-6.020652533106719,-7.916196767600349,-13.138953599841301,-10.3705042030749,-8.061808030613768,-3.43449965556529,-1.9501945925199198,-0.0189991608890637,1.71641608202583,-0.519881125520205,7.644549681723539,9.74132321198917,8.63540388368371,10.7320101988335,11.340606903021,6.94384459705163,15.4514816196467,16.4356506726253,14.429215773069501,15.259734230907199,21.5577973592748,16.9877963422522,10.8080912557753,13.8581942934725,13.4889498741419,22.8318509218368,18.1878439084477,22.0570981174548,25.1290318733002,26.058607907656604,14.478429349614402,16.8485171123675,23.441580934642896,22.150185461982197,17.0035630982975,16.5211803644284,18.680200695827,18.5771805921853,18.9966116062521,18.829014548154102,
