,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Tax Revenune,AvgTone_Norm
28,2016,IDN,81290,24027,55617,1646,-2.3776764439161098,-2.42681580691503,2.2436849908115604,-3.9628303394905195,5.0332795915301,2.4803957109250803,0.487174266144051,-1.81841107803349,10.3321451061155,-0.9141433573866096
29,2017,IDN,68635,23152,43968,1515,-1.9240947404328799,-1.9675244712397302,2.3639418321132597,-3.13654341594221,5.06768027408975,4.24446429147216,2.1136119192563303,-1.70282395869659,,-0.5341302775093248
75,2003,MYS,11652,11608,0,44,5.31879482067117,5.33895565562202,5.33895565562202,5.3743782570402,5.78849928090706,3.2992024425404503,2.92094209456765,12.142350556034401,15.4956551225138,-0.1370039790120119
76,2004,MYS,8047,8037,0,10,5.15383752773712,5.16025016619393,5.16025016619393,5.18083429798514,6.78343773628363,6.0095062279616105,3.50786522068393,12.087748312938096,15.199061700372699,-0.4630266777150789
77,2005,MYS,6488,6452,2,34,5.148643050780941,5.17576636403266,5.17919569025086,5.20964192404913,5.33213913924246,8.86235684942822,2.73439312562665,13.9199994956448,14.8263910607125,-0.29673145678642854
78,2006,MYS,13929,13885,5,39,5.70473844822237,5.72075607237505,5.72447003635988,5.90031899479825,5.5848470688658605,3.98075743636927,4.72720240947838,16.1038501796188,14.516221306572099,-0.0043292523382909565
79,2007,MYS,22808,22760,6,42,5.6477684277239,5.6581877492544495,5.66045126133376,5.674972696289769,6.29878592735085,4.881499101826219,4.6868880488533895,15.3812595680627,14.3037228371975,0.1937607239926109
80,2008,MYS,30928,30865,8,55,5.55612314775,5.56602133623593,5.56808688176532,5.56201382276937,4.83176989511323,10.3887570212799,3.2807912965275,16.859651814178697,14.662977300874903,0.21630711082515752
81,2009,MYS,58570,58435,0,135,5.56788198050164,5.58074523141921,5.58074523141921,5.5356069542453,-1.51352872655639,-5.9920975424694,0.0566922787314354,15.723000169259699,14.940504408187303,0.11820386696648288
82,2010,MYS,50317,50174,0,143,5.53444077288521,5.550214381338249,5.550214381338249,5.44619927536958,7.4248473927781,7.266866569505369,4.26859027533685,10.0557447117162,13.332195310376699,-0.18236218521736802
83,2011,MYS,62244,62008,0,236,5.56872355020524,5.58991789219092,5.58991789219092,5.387813958939941,5.2939128402282,5.41240808398462,5.07443251972248,10.9049942367115,14.794353171377999,-0.016016415319949573
84,2012,MYS,65868,65372,0,496,5.1843553954028305,5.22369089494575,5.22369089494575,5.06853260315559,5.47345419229524,0.999932303703858,2.8290564659394004,5.188771397918671,15.613146742555001,-0.06022996228892197
85,2013,MYS,80873,78808,0,2065,2.46113549482852,2.52562444007293,2.52562444007293,2.41706352617398,4.6937225201998,0.174474486468412,3.49430152561612,3.46613288891246,15.310235280489,-0.20144662207884112
86,2014,MYS,118478,113588,1833,3057,2.06110452773555,2.11569421714465,2.21039613457068,1.71304961035392,6.00672194999372,2.4674667793993703,3.1412678501571203,4.39164342217662,14.840790714026802,-0.3758923618493659
87,2015,MYS,124911,44217,77942,2752,-1.4862413370744199,-1.51972340683292,2.29117542960711,-2.34056982542677,5.028006348961768,-0.37450458848911705,3.32524680778241,3.0589065398461903,14.290205860987502,-0.48881622318431295
88,2016,MYS,110836,32429,75843,2564,-1.80505211599323,-1.84779773467032,2.13509666524437,-2.31183332255656,4.219851319643951,1.9512063476409096,4.54248146395855,2.40537153849742,13.766388645010199,-0.3415190294637298
89,2017,MYS,100946,31655,67173,2118,-1.9011228784220902,-1.9418661723924,2.2832410725322596,-2.9986810728465003,5.90176922237052,3.81956219393183,3.02438256563181,3.00476333810772,,-0.5111584154985351
90,2003,PHL,19118,19031,0,87,4.85249206599649,4.87467517827339,4.87467517827339,4.89342570047563,4.97036869699237,3.20132792259547,0.586355041603849,0.33965688385588805,12.1017522610396,-0.6033067336866917
91,2004,PHL,12246,12186,0,60,5.06020587713167,5.08512072635438,5.08512072635438,5.09715169630947,6.697623614410089,5.51688658239,0.64790626003236,1.77845890633883,11.8159876154414,-0.5566583283205286
92,2005,PHL,7930,7868,12,50,4.77240540872316,4.8026871689308,4.81809265489516,4.81134969509554,4.77766781940045,5.82800968788347,1.61441200929476,1.93107825886334,12.4272827280376,-0.6729690988442094
93,2006,PHL,10869,10822,10,37,4.836441760410571,4.85296210246515,4.85981370091118,4.73327649516789,5.24296035576116,4.94902410637846,2.21536627763805,5.69741991666504,13.7118708819138,-0.8726259401500904
94,2007,PHL,32605,32492,7,106,4.9290076009542,4.94508424348785,4.94697810329097,4.86427612191812,6.61666228456504,3.09033098652421,1.95415535734943,5.404357937666,13.5348865442799,-0.5250001027770894
95,2008,PHL,51939,51766,7,166,4.7142251768288395,4.72934041796521,4.730248275621,4.69800497817327,4.1527568434561495,7.54906208822888,0.7692680702964759,0.08267794938937599,13.5893944216829,-0.6255908600960032
