,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Unemployment
40,2013,KHM,14978,14568,0,410,2.8656798454334997,2.8656798454334997,0.0,2.90663056235351,7.35666514887974,0.7813875518216659,12.2913443336991,-13.029937896103599,0.30000001192092896
41,2014,KHM,19394,18389,270,735,2.37402703616979,2.4394744832741098,-0.065447447104323,2.13586430232846,7.142571100742941,2.63219587864212,10.2999222474755,-9.82166005079154,0.180000007152557
42,2015,KHM,23918,8995,14343,580,-1.75240415158322,0.9458722497408609,-2.6982764013241,-2.55590121279933,7.036087179296322,1.71927069193936,9.42367262985559,-9.371931459193439,
43,2016,KHM,27221,8763,17946,512,-2.01879457237108,0.8164330867895201,-2.8352276591605894,-2.95289688889277,6.95309439613069,3.4561173711805,11.425600499216301,-8.86840352162443,
44,2017,KHM,24664,8078,16097,489,-1.9935856247436698,0.8560695135552541,-2.8496551382989104,-3.2406485040023703,6.81472361786084,3.42865263134942,12.565873228304696,,
45,2003,LAO,1553,1545,0,8,5.635890441927309,5.635890441927309,0.0,5.674017033580769,6.0670023037584615,13.4500898416467,0.962969691354659,-1.46818009607216,
46,2004,LAO,1380,1373,0,7,6.394601162541091,6.394601162541091,0.0,6.5113383941231,6.35769548012802,10.6904285434965,0.7148950490563629,-7.531994022291019,
47,2005,LAO,797,797,0,0,5.78728385108217,5.78728385108217,0.0,5.90804384390162,7.107568369061482,8.64032247874866,1.0133213275204,-6.352872820873442,1.35000002384186
48,2006,LAO,1037,1029,1,7,6.693712937736451,6.695073263972911,-0.001360326236461,6.7693088699808595,8.61926620873047,10.8051012263569,5.42476149247602,2.1810340840224702,
49,2007,LAO,1614,1606,1,7,5.694181406267389,5.6984878948954805,-0.004306488628092,5.5072428712269295,7.59682880050462,7.43828600553339,7.6609717147572685,3.3011459969656403,
50,2008,LAO,1627,1618,1,8,5.71403011460468,5.71407501074419,-4.4896139515648205e-05,5.5393109278444195,7.82490276260828,8.86345063816474,4.18393738620134,1.42441277838683,
51,2009,LAO,5019,4932,0,87,5.6441979907208,5.6441979907208,0.0,5.33809056050107,7.50177491260473,-2.9320735327513905,5.462074930749098,-1.04417123611976,
52,2010,LAO,3968,3954,0,14,6.65122309845736,6.65122309845736,0.0,6.3076918956673005,8.52690551722873,9.1965711123669,3.91153218968315,0.411195997574834,0.7082999944686891
53,2011,LAO,4407,4390,0,17,6.49954810124194,6.49954810124194,0.0,5.53689245446697,8.03865268080929,10.4687175987471,3.43736677507113,-2.3582147551137003,
54,2012,LAO,4540,4489,0,51,5.45750324612163,5.45750324612163,0.0,4.75048886092329,8.026098434040849,7.528859305220151,2.8884790782677903,-4.04929092201776,
55,2013,LAO,4255,4156,0,99,2.74551938743785,2.74551938743785,0.0,2.35315751368579,8.02630022637751,6.4739720842641,3.57276378041143,-3.65817226943125,
56,2014,LAO,3982,3840,51,91,2.79880334366346,2.8292110123454397,-0.030407668681984,2.18649221699025,7.61196344074382,5.72655918157636,6.88281452029966,-8.88070181509659,
