,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,TaxRev,Unemployment,GDP Capita,Export,Import,AvgTone_Norm
22,2010,MYS,50317,50174.0,0.0,143.0,5.5344407728852145,5.5502143813382485,5.5502143813382485,5.446199275369585,7.4248473927781,7.266866569505369,4.26859027533685,10.0557447117162,13.332195310376699,3.31970000267029,5.48781908133454,10.4190697723474,15.522702819953404,0.2948635767245671
23,2011,MYS,62244,62008.0,0.0,236.0,5.568723550205236,5.589917892190923,5.589917892190923,5.3878139589399385,5.2939128402282,5.41240808398462,5.07443251972248,10.9049942367115,14.794353171377999,3.08570003509521,3.37138732906332,4.17939292091167,6.31024604988197,0.24603953684241997
24,2012,MYS,65868,65372.0,0.0,496.0,5.184355395402829,5.223690894945749,5.223690894945749,5.068532603155589,5.47345419229524,0.999932303703858,2.8290564659394004,5.188771397918671,15.613146742555001,3.03800010681152,3.53783504099184,-1.74185630424817,2.91205149746754,0.14106869189878246
25,2013,MYS,80873,78808.0,0.0,2065.0,2.4611354948285227,2.5256244400729257,2.5256244400729257,2.41706352617398,4.6937225201998,0.174474486468412,3.49430152561612,3.46613288891246,15.310235280489,3.14129996299744,2.8037836232530298,0.259247757404296,1.72389479259047,-0.08756427488963636
26,2014,MYS,118478,113588.0,1833.0,3057.0,2.0611045277355475,2.1156942171446462,2.210396134570681,1.7130496103539181,6.00672194999372,2.4674667793993703,3.1412678501571203,4.39164342217662,14.840790714026802,2.88949990272522,4.17859799116842,5.0402807645704,3.9890143066629,-0.29852695891203185
27,2015,MYS,124911,44217.0,77942.0,2752.0,-1.4862413370744207,-1.5197234068329226,2.2911754296071107,-2.340569825426768,5.028006348961768,-0.37450458848911705,3.32524680778241,3.0589065398461903,14.290205860987502,3.0999999046325697,3.33536257563797,0.252664998687962,0.803134327252806,-0.27059252293444636
28,2016,MYS,110836,32429.0,75843.0,2564.0,-1.8050521159932258,-1.8477977346703232,2.135096665244367,-2.3118333225565637,4.219851319643951,1.9512063476409096,4.54248146395855,2.40537153849742,13.766388645010199,3.4400000572204603,2.66891457684333,1.14818610955258,1.10487901288265,-0.13957677886913356
29,2017,MYS,100946,31655.0,67173.0,2118.0,-1.9011228784220908,-1.941866172392403,2.283241072532257,-2.9986810728464977,5.90176922237052,3.81956219393183,3.02438256563181,3.00476333810772,,3.4077000617981,4.43836861173791,9.56213169356906,11.0027527229284,-0.2805455219788411
30,2003,PHL,19118,19031.0,0.0,87.0,4.852492065996485,4.874675178273387,4.874675178273387,4.893425700475632,4.97036869699237,3.20132792259547,0.586355041603849,0.33965688385588805,12.1017522610396,3.52729988098145,2.84661893492046,4.5107050654793,2.63164853763011,-0.16490786036037708
31,2004,PHL,12246,12186.0,0.0,60.0,5.060205877131674,5.08512072635438,5.08512072635438,5.097151696309472,6.697623614410089,5.51688658239,0.64790626003236,1.77845890633883,11.8159876154414,3.5534999370575,4.62293153777563,12.7599626421896,6.1940573593372905,0.02466753478652528
