Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone
2012,PHL,113163,112397.0,0.0,766.0,4.945432218545916,4.979135974690708,4.979135974690708,4.686273455103323
2013,PHL,101662,99705.0,0.0,1957.0,2.651794694581874,2.7038438617981293,2.7038438617981293,2.5614645572332746
2014,PHL,102437,99310.0,1169.0,1958.0,2.615714036576668,2.6666855637974516,2.737242514043886,2.486849551076328
2015,PHL,140968,59914.0,78204.0,2850.0,-0.930950777480518,-0.9501605091289598,2.4304616169744855,-1.3017876532722956
2016,PHL,179471,53686.0,122415.0,3370.0,-1.9097412789214898,-1.9462875115378033,2.189178013662387,-2.548711243044277
2017,PHL,162792,46533.0,113467.0,2792.0,-2.2552874629600073,-2.2946422291886592,2.325167779500886,-3.0562757406128727
2003,SGP,5272,5257.0,0.0,15.0,5.178416077067324,5.193191850541932,5.193191850541932,5.231622455845065
2004,SGP,3748,3726.0,0.0,22.0,5.633898368771428,5.667163469177486,5.667163469177486,5.669425195572585
2005,SGP,3202,3187.0,2.0,13.0,5.638027078868855,5.661010569626238,5.665592343666402,5.753622074145815
2006,SGP,5502,5474.0,6.0,22.0,5.865592585226411,5.889140584656152,5.8983138963862345,5.786741707084935
2007,SGP,9927,9896.0,6.0,25.0,5.853912592106661,5.868692213880309,5.875010459109737,5.846893867005662
2008,SGP,12120,12065.0,6.0,49.0,5.70739658697879,5.730564711638053,5.7353188062730425,5.729746352743409
2009,SGP,22541,22443.0,0.0,98.0,5.878210413710067,5.903878311074216,5.903878311074216,5.707108734733341
2010,SGP,20164,20074.0,0.0,90.0,5.772409982982339,5.798290071577956,5.798290071577956,4.871157270426638
2011,SGP,26774,26643.0,0.0,131.0,5.92857096370192,5.957720939164329,5.957720939164329,5.595366952020766
2012,SGP,28202,27978.0,0.0,224.0,5.582428334557851,5.627122878375885,5.627122878375885,5.260111925841692
2013,SGP,28208,27297.0,0.0,911.0,2.737989374300253,2.8293660208177283,2.8293660208177283,2.643139836447637
2014,SGP,35281,33871.0,376.0,1034.0,2.6735993697121323,2.7543218198035957,2.8193293073057397,2.4659862758118156
2015,SGP,57780,32926.0,23397.0,1457.0,0.17188042760716113,0.1763267423102777,2.4994552753310484,-0.36153438302698826
2016,SGP,62403,30123.0,30701.0,1579.0,-0.49576667569452443,-0.5086368516270783,2.4172220870956056,-1.3306469713742815
2017,SGP,49594,24704.0,23702.0,1188.0,-0.40074776588421973,-0.4105830827017724,2.486503938663156,-1.3587656796231369
2003,THA,11942,11890.0,0.0,52.0,5.306247077822978,5.329453541073339,5.329453541073339,5.352694057337658
2004,THA,10262,10184.0,0.0,78.0,4.587294037543482,4.622428457705343,4.622428457705343,4.509597810753038
2005,THA,8349,8240.0,31.0,78.0,4.587054547747721,4.630312951172256,4.6687258280419055,3.9144395654008273
2006,THA,15061,14823.0,20.0,218.0,4.981584836630377,5.054749661422227,5.066554019364424,4.799154883937269
2007,THA,23303,22996.0,15.0,292.0,4.835412570224897,4.896771940548033,4.902639708445091,4.766607607051673
2008,THA,35852,35588.0,12.0,252.0,4.73483473622378,4.768350982109409,4.771706895439016,4.653225246654414
2009,THA,55034,54667.0,0.0,367.0,4.942713004547388,4.9758952840335295,4.9758952840335295,4.79840657579647
2010,THA,47959,47707.0,0.0,252.0,4.740425530394274,4.765465613268053,4.765465613268053,4.5047707388131135
2011,THA,65697,65384.0,0.0,313.0,4.820258450108798,4.8433335280312875,4.8433335280312875,4.50185301206283
2012,THA,51508,50904.0,0.0,604.0,4.723631080375704,4.779679193933516,4.779679193933516,4.376978244620732
2013,THA,49144,47050.0,0.0,2094.0,2.51004034025331,2.6217518061935956,2.6217518061935956,2.363030194698009
2014,THA,58753,55967.0,803.0,1983.0,2.211802350385328,2.2890615376464534,2.393925279888974,1.89686799917419
2015,THA,72843,25821.0,45549.0,1473.0,-2.0764261691983505,-2.1192813709249747,2.51290874852946,-3.7216598494448307
2016,THA,69202,24488.0,43192.0,1522.0,-1.7391401710951095,-1.778250267732325,2.4917921278412662,-2.6451796823012086
2017,THA,53456,20018.0,32338.0,1100.0,-1.6216339345170532,-1.6557044771094733,2.5565006359003593,-2.6515042655717966
